Date,Confirmed,ConfirmPerday,day
10/5/2020,4,4,5
10/6/2020,5,1,6
10/7/2020,7,2,7
10/8/2020,7,0,8
10/9/2020,8,1,9
10/10/2020,8,0,10
10/11/2020,8,0,11
10/12/2020,8,0,12
10/13/2020,8,0,13
10/14/2020,8,0,14
10/15/2020,9,1,15
10/16/2020,9,0,16
10/17/2020,9,0,17
10/18/2020,9,0,18
10/19/2020,9,0,19
10/20/2020,9,0,20
10/21/2020,9,0,21
10/22/2020,21,12,22
10/23/2020,22,1,23
10/24/2020,31,9,24
10/25/2020,31,0,25
10/26/2020,31,0,26
10/27/2020,34,3,27
10/28/2020,38,4,28
