Date,Confirmed,ConfirmPerday,day
10/11/2020,3,3,11
10/12/2020,4,1,12
10/13/2020,4,0,13
10/14/2020,4,0,14
10/15/2020,4,0,15
10/16/2020,4,0,16
10/17/2020,4,0,17
10/18/2020,4,0,18
10/19/2020,4,0,19
10/20/2020,4,0,20
10/21/2020,4,0,21
10/22/2020,4,0,22
10/23/2020,4,0,23
10/24/2020,5,1,24
10/25/2020,5,0,25
10/26/2020,6,1,26
10/29/2020,7,1,29
