Date,Confirmed,ConfirmPerday,day
10/7/2020,2,2,7
10/8/2020,6,4,8
10/9/2020,10,4,9
10/10/2020,10,4,0
10/11/2020,11,1,11
10/12/2020,14,3,12
10/13/2020,23,9,13
10/14/2020,23,0,14
10/15/2020,23,0,15
10/16/2020,23,0,16
10/17/2020,23,0,17
10/18/2020,23,0,18
10/19/2020,30,7,19
10/20/2020,38,8,20
10/21/2020,87,49,21
10/22/2020,286,199,22
10/23/2020,488,202,23
10/24/2020,717,229,24
10/25/2020,903,186,25
10/26/2020,1094,191,26
10/27/2020,1277,183,27
10/28/2020,1514,237,28
10/29/2020,1715,201,29
