Date,Confirmed,ConfirmPerday,day
10/6/2020,1,1,6
10/7/2020,1,0,7
10/8/2020,4,3,8
10/9/2020,5,1,9
10/10/2020,6,1,10
10/11/2020,6,0,11
10/12/2020,6,0,12
10/13/2020,7,1,13
10/14/2020,7,0,14
10/15/2020,7,0,15
10/16/2020,7,0,16
10/17/2020,7,0,17
10/18/2020,24,17,18
10/19/2020,25,1,19
10/20/2020,25,0,20
10/21/2020,25,0,21
10/22/2020,25,0,22
10/23/2020,45,20,23
10/24/2020,55,10,24
10/27/2020,71,16,27
10/28/2020,81,10,28
